date,time,open,high,low,close,volume
2016-01-24,19:00:00,402.88,403.3,402.5,403.04,7.385458219999999
2016-01-24,20:00:00,403.05,403.94,403.05,403.05,21.388451680000003
2016-01-24,21:00:00,403.04,403.04,399.55,399.88,91.53708088999997
2016-01-24,22:00:00,399.88,399.88,396.34,398.33,38.509129650000006
2016-01-24,23:00:00,398.36,399.18,397.61,399.04,52.0197274
2016-01-25,00:00:00,399.04,399.04,397.66,398.33,35.61666811
2016-01-25,01:00:00,398.44,399.32,398.44,398.62,7.451146269999996
2016-01-25,02:00:00,398.59,398.68,397.55,398.39,43.8722548
2016-01-25,03:00:00,398.41,398.76,396.94,397.73,27.310096949999995
2016-01-25,04:00:00,397.78,401.88,397.53,399.76,32.40934763000005
2016-01-25,05:00:00,399.95,401.2,399.69,400.41,37.64450696999998
2016-01-25,06:00:00,400.41,400.41,398.69,399.88,42.009283389999965
2016-01-25,07:00:00,399.88,400.8,399.68,399.96,43.25472470000001
2016-01-25,08:00:00,399.96,400.12,396.54,397.4,32.85493664000005
2016-01-25,09:00:00,397.4,399.25,397.01,398.65,30.06989404000002
2016-01-25,10:00:00,398.66,398.85,397.96,398.46,31.404326470000036
2016-01-25,11:00:00,398.46,399.66,398.46,399.42,69.58911744999999
2016-01-25,12:00:00,399.35,399.35,397.09,397.82,124.48431841000009
2016-01-25,13:00:00,397.72,397.72,388.99,390.58,168.36769694999984
2016-01-25,14:00:00,390.57,392.03,388.9,390.48,127.02366444000002
2016-01-25,15:00:00,390.4,390.96,386.69,389.79,148.6920717899998
2016-01-25,16:00:00,389.79,390.58,389.18,390.23,96.86869598000001
2016-01-25,17:00:00,390.23,393.16,389.15,392.65,181.8200988799999
2016-01-25,18:00:00,392.48,392.98,390.98,391.35,147.0757859099999
2016-01-25,19:00:00,391.32,393.72,391.13,393.39,176.71237260999987
2016-01-25,20:00:00,393.35,393.47,391.4,391.4,127.04354097
2016-01-25,21:00:00,391.4,393.0,391.33,392.67,130.91135029
2016-01-25,22:00:00,392.69,394.0,392.37,392.48,87.94123835000002
2016-01-25,23:00:00,392.33,393.73,391.8,393.73,96.99766648000006
2016-01-26,00:00:00,393.6,393.6,391.84,391.84,96.17856000000005
2016-01-26,01:00:00,391.82,392.19,389.5,391.99,80.62060874000008
2016-01-26,02:00:00,391.83,393.36,391.18,392.74,50.07234472000001
2016-01-26,03:00:00,392.85,392.85,391.13,391.55,72.25188215999995
2016-01-26,04:00:00,391.66,393.32,391.66,393.32,98.63358333000016
2016-01-26,05:00:00,393.2,393.63,392.39,393.35,38.76686862999999
2016-01-26,06:00:00,393.51,396.13,393.15,396.13,244.47162320999996
2016-01-26,07:00:00,396.49,397.0,395.98,396.3,72.6612850500001
